  ,Data    (dd/mm/aaaa),Hora local (hh:mm),Hora UTC (hh:mm),Tmáx (°C),Tmin (°C),Tar (°C),TH2O ev (°C),U2 (m/s),Direção do vento,Tar 2 (°C),Prp (mm/dia),Soma de Prp (mm/dia),pluv. alternativo (ml),Ev (mm),Ev (mm)*,Patm (mbar),Tmáx Real (ºC),Tmin Real (ºC),Tméd (ºC),esTU,ea,es,UR (%),Ev (mm/dia),Tanque,Evento,Visibilidade,Nuvem,Cobertura do céu,Observadores
Sexta,11/09,09:00,12:00,"36,00","23,30","29,60","26,40",,NE,,"0,00",,,"62,98","73,56",,"35,20","23,30","29,25","34,41","31,85","41,46","76,83","5,10",,1,1,1,2,"Pedro, Luiz Fernando"
Sexta,11/09,15:00,18:00,,,"33,80","27,40",,SE,,,,,,,,,,,"36,50","31,38","52,60","59,65",,,1,1,1,2,"Amanda 1 e 2, Evandro"
Sábado,12/09,09:00,12:00,"35,00","22,50","29,80","26,40",,N,,"0,00",,,"67,30",,,"36,00","22,50","29,25","34,41","31,69","41,94","75,57","6,26",,1,1,2,2,Amanda
Sábado,12/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,13/09,09:00,12:00,"35,80","23,10","28,60","26,00",,L,,"11,75",,,"73,82",,,"35,00","23,10","29,05","33,61","31,53","39,14","80,57","5,23",,1,1,2,2,Pedro
Domingo,13/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,14/09,09:00,12:00,"35,00","22,80","30,00","26,40",,N,,"0,00",,,"70,60",,,"35,80","22,80","29,30","34,41","31,53","42,43","74,33","3,22",,1,1,2,2,AMANDA
Segunda,14/09,15:00,18:00,,,"34,60","29,00",,NE,,,,,,,,,,,"40,05","35,57","54,99","64,69",,,1,2,2,2,AMANDA
Terça,15/09,09:00,12:00,"35,20","22,50","29,60","26,20",,NE,,"0,00",,,"65,92",,,"35,00","22,50","28,75","34,01","31,29","41,46","75,47","4,68",,1,1,3,2,"JHENNIFER, LUIZ FERNANDO"
Terça,15/09,15:00,18:00,,,"34,20","28,80",,O,,,,,,,,,,,"39,59","35,27","53,78","65,58",,,1,1,2,1,"JHENNIFER, AMANDA R, EVANDRO, AFONSO E PEDRO"
Quarta,16/09,09:00,12:00,"35,60","22,30","29,00","26,20",,NE,,"27,50",,,"80,18",,,"35,20","22,30","28,75","34,01","31,77","40,05","79,32","0,00",,1,1,2,2,Alice
Quarta,16/09,15:00,18:00,,,"34,00","28,20",,L,,,,,,,,,,,"38,24","33,60","53,19","63,17",,,1,1,3,2,AMANDA
Quinta,17/09,09:00,12:00,"35,20","23,20","29,00","25,80",,NE,,"0,00",,,"74,62",,,"35,60","23,20","29,40","33,22","30,66","40,05","76,54","5,56",,1,1,2,2,Jhennifer e Adriana
Quinta,17/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,18/09,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,18/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,19/09,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,19/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,20/09,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,20/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,21/09,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,21/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,22/09,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,22/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,23/09,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,23/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,24/09,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,24/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,25/09,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,25/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,26/09,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,26/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,27/09,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,27/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,28/09,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,28/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,29/09,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,29/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,30/09,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,30/09,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,01/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,01/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,02/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,02/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,03/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,03/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,04/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,04/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,05/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,05/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,06/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,06/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,07/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,07/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,08/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,08/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,09/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,09/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,10/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,10/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,11/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,11/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,12/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,12/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,13/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,13/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,14/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,14/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,15/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,15/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,16/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,16/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,17/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,17/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,18/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,18/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,19/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,19/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,20/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,20/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,21/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,21/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,22/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,22/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,23/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,23/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,24/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,24/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,25/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,25/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,26/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,26/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,27/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,27/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,28/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,28/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,29/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,29/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,30/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,30/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,31/10,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,31/10,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,01/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,01/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,02/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,02/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,03/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,03/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,04/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,04/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,05/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,05/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,06/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,06/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,07/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,07/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,08/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,08/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,09/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,09/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,10/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,10/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,11/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,11/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,12/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,12/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,13/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,13/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,14/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,14/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,15/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,15/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,16/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,16/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,17/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,17/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,18/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,18/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,19/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,19/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,20/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,20/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,21/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,21/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,22/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,22/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,23/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,23/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,24/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,24/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,25/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,25/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,26/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,26/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,27/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,27/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,28/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,28/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,29/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,29/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,30/11,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,30/11,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,01/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,01/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,02/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,02/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,03/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,03/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,04/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,04/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,05/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,05/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,06/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,06/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,07/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,07/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,08/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,08/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,09/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,09/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,10/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,10/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,11/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,11/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,12/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,12/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,13/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,13/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,14/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,14/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,15/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,15/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,16/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,16/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,17/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,17/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,18/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,18/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,19/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,19/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,20/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,20/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,21/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,21/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,22/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,22/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,23/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,23/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,24/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,24/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,25/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,25/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,26/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,26/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,27/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,27/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,28/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,28/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,29/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,29/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,30/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,30/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,31/12,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,31/12,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
